page,line,column,span,direction,left,top,right,bottom,word,short,haspunct,punctAfter,punctBefore,QunawiMS,poetryMeter,poetryVerse,fass,lwcvl,quran
8,2,1,1,r,356,197,384,218,الحَمْدُ,الحمد,,,,1b,,,0,,
8,2,1,1,r,341,197,356,218,لِلهِ,لله,,,,1b,,,0,,
8,2,1,1,r,312,197,341,218,مُـنَـزِّلِ,منزل,,,,1b,,,0,,
8,2,1,1,r,274,197,312,218,الحِكَمِ,الحكم,,,,1b,,,0,,
8,2,1,1,r,260,197,274,218,عَلَىٰ,على,,,,1b,,,0,,
8,2,1,1,r,224,197,260,218,قُلُوبِ,قلوب,,,,1b,,,0,,
8,2,1,1,r,196,197,224,218,الكَلِمِ,الكلم,,,,1b,,,0,,
8,2,1,1,r,163,197,196,218,بِأَحَدِيَّةِ,بأحدية,,,,1b,,,0,,
8,2,1,1,r,127,197,163,218,الطَّـرِيقِ,الطريق,,,,1b,,,0,,
8,2,1,1,r,100,197,127,218,الأَمَمِ,الأمم,,,,1b,,,0,,
8,2,1,1,r,79,197,100,218,مِنَ,من,,,,1b,,,0,,
8,3,1,1,r,375,223,402,244,المَقَامِ,المقام,,,,1b,,,0,,
8,3,1,1,r,344,223,375,244,الأَقْدَمِ,الأقدم,,,,1b,,,0,,
8,3,1,1,r,320,223,344,244,وَإِنِ,وإن,,,,1b,,,0,,
8,3,1,1,r,282,223,320,244,ٱخْتَلَفَتِ,اختلفت,,,,1b,,,0,,
8,3,1,1,r,253,223,282,244,النِّحَلُ,النحل,,,,1b,,,0,,
8,3,1,1,r,221,223,253,244,وَالمِلَلُ,والملل,,,,1b,,,0,,
8,3,1,1,r,176,223,221,244,لِٱخْتِلَافِ,لاختلاف,,,,1b,,,0,,
8,3,1,1,r,149,223,176,244,الأُمَمِ.,الأمم,,.,,1b,,,0,,
9,1,1,1,r,363,87,384,108,وَصَلَّىٰ,وصلى,,,,1b,,,0,,
9,1,1,1,r,333,87,362,108,اللهُ,الله,,,,1b,,,0,,
9,1,1,1,r,318,87,333,108,عَلَىٰ,على,,,,1b,,,0,,
9,1,1,1,r,285,87,317,108,مُمِدِّ,ممد,,,,1b,,,0,,
9,1,1,1,r,254,87,285,108,الهِمَمِ،,الهمم,,،,,1b,,,0,,
9,1,1,1,r,228,87,250,108,مِنْ,من,,,,1b,,,0,,
9,1,1,1,r,192,87,228,108,خَـزَائِنِ,خزائن,,,,1b,,,0,,
9,1,1,1,r,160,87,192,108,الجُودِ,الجود,,,,1b,,,0,,
9,1,1,1,r,122,87,160,108,وَالكَـرَمِ،,والكرم,,،,,1b,,,0,,
9,1,1,1,r,79,87,119,108,بِالقِيلِ,بالقيل,,,,1b,,,0,,
9,2,1,1,r,372,113,402,134,الأَقْـوَمِ،,الأقوم,,،,,1b,,,0,,
9,2,1,1,r,326,113,360,134,مُحَمَّدٍ,محمد,,,,1b,,,0,,
9,2,1,1,r,307,113,326,134,وَعَلَىٰ,وعلى,,,,1b,,,0,,
9,2,1,1,r,284,113,307,134,آلِهِ,آله,,,,1b,,,0,,
9,2,1,1,r,255,113,284,134,وَسَلَّمَ.,وسلم,,.,,1b,,,0,,
9,3,1,1,r,375,139,384,160,أَمَّا,أما,,,,1b,,,0,,
9,3,1,1,r,353,139,375,160,بَعْدُ:,بعد,,:,,1b,,,0,,
9,4,1,1,r,371,165,384,186,فَإِنِّي,فإني,,,,1b,,,0,,
9,4,1,1,r,336,165,370,186,رَأَيْتُ,رأيت,,,,1b,,,0,,
9,4,1,1,r,307,165,336,186,رَسُولَ,رسول,,,,1b,,,0,,
9,4,1,1,r,288,165,307,186,اللهِ,الله,,,,1b,,,0,,
9,4,1,1,r,270,165,288,186,صَلَّىٰ,صلى,,,,1b,,,0,,
9,4,1,1,r,242,165,269,186,اللهُ,الله,,,,1b,,,0,,
9,4,1,1,r,219,165,242,186,عَلَيْهِ,عليه,,,,1b,,,0,,
9,4,1,1,r,160,165,191,186,وَسَلَّمَ,وسلم,,,,1b,,,0,,
9,4,1,1,r,152,165,160,186,فِي,في,,,,1b,,,0,,
9,4,1,1,r,108,165,151,186,مُـبَشِّـرَةٍ,مبشرة,,,,1b,,,0,,
9,4,1,1,r,79,165,108,186,أُرِيتُهَا,أريتها,,,,1b,,,0,,
9,5,1,1,r,397,191,402,212,فِي,في,,,,1b,,,0,,
9,5,1,1,r,355,191,395,212,العَشْرِ,العشر,,,,1b,,,0,,
9,5,1,1,r,322,191,355,212,الأُخَـرِ,الأخر,,,,1b,,,0,,
9,5,1,1,r,304,191,322,212,مِنْ,من,,,,1b,,,0,,
9,5,1,1,r,261,191,304,212,المُحَـرَّمِ,المحرم,,,,1b,,,0,,
9,5,1,1,r,238,191,261,212,سَنَةَ,سنة,,,,1b,,,0,last days of Muharram 726h in Damascus,
9,5,1,1,r,214,191,238,212,سَبْعٍ,سبع,,,,1b,,,0,,
9,5,1,1,r,170,191,214,212,وَعِشْرِينَ,وعشرين,,,,1b,,,0,,
9,5,1,1,r,124,191,170,212,وَستِّمِاىَٔةٍ,وستمائة,,,,1b,,,0,,
9,6,1,1,r,359,217,402,238,بِمَحْـرُوسَةِ,بمحروسة,,,,1b,,,0,,
9,6,1,1,r,330,217,359,238,دِمَشْقَ،,دمشق,,،,,1b,,,0,,
9,6,1,1,r,300,217,330,238,وَبِيِدِهِ,وبيده,,,,1b,,,0,,
9,6,1,1,r,283,217,300,238,صَلَّىٰ,صلى,,,,1b,,,0,,
9,6,1,1,r,257,217,283,238,اللهُ,الله,,,,1b,,,0,,
9,6,1,1,r,236,217,257,238,عَلَيهِ,عليه,,,,1b,,,0,,
9,6,1,1,r,179,217,208,238,وَسَلَّمَ,وسلم,,,,1b,,,0,,
9,6,1,1,r,153,217,179,238,كِتَابٌ.,كتاب,,.,,1b,,,0,,
9,7,1,1,r,361,243,384,264,فَقَالَ,فقال,,,,1b,,,0,,
9,7,1,1,r,344,243,361,264,لِي:,لي,,:,,1b,,,0,,
9,7,1,1,r,284,243,344,264,«هٰذَا,هذا,,,«,1b,,,0,,
9,7,1,1,r,284,243,344,264,كِتَابُ,كتاب,,,,1b,,,0,,
9,7,1,1,r,244,243,284,264,فُصُوصِ,فصوص,,,,1b,,,0,,
9,7,1,1,r,208,243,244,264,الحِكَمِ.,الحكم,,.,,1b,,,0,,
9,7,1,1,r,180,243,208,264,خُذْهُ,خذه,,,,1b,,,0,,
9,7,1,1,r,143,243,180,264,وَٱخْـرُجْ,واخرج,,,,1b,,,0,,
9,7,1,1,r,130,243,143,264,بِهِ,به,,,,1b,,,0,,
9,7,1,1,r,120,243,130,264,إِلَىٰ,إلى,,,,1b,,,0,,
9,7,1,1,r,79,243,118,264,النَّاسِ,الناس,,,,1b,,,0,,
9,8,1,1,r,367,269,402,290,يَنْـتَفِعُونَ,ينتفعون,,,,1b,,,0,,
9,8,1,1,r,348,269,367,290,بِهِ».,به,,».,,1b,,,0,,
10,1,1,1,r,360,87,384,108,فَقُلْتُ:,فقلت,,:,,1b,,,0,,
