,page,line,column,span,direction,left,top,right,bottom,word,short,haspunct,punctAfter,punctBefore,QunawiMS,poetryMeter,poetryVerse,fass,lwcvl,quran
33711,353,10,1,1,r,211,321,244,342,مَابَادَرَ,مابادر,,,,67a,,,25,,
33741,353,13,1,1,r,357,399,386,420,مَاشَعَرَ،,ماشعر,,،,,67a,,,25,,
33845,354,9,1,1,r,158,295,181,316,مَاهُوَ,ماهو,,,,67a,,,25,,
33847,354,9,1,1,r,102,295,138,316,مَامَضَىٰ،,مامضى,,،,,67a,,,25,,
33897,354,14,1,1,r,152,425,184,446,مَاتَغَذَّىٰ,ماتغذى,,,,67a,,,25,,
33998,355,8,1,1,r,370,269,402,290,مَاٱبْتَلَاهُ,ماابتلاه,,,,67b,,,25,,
34002,355,9,1,1,r,324,295,360,316,مَاٱبْتَلَاهُ,ماابتلاه,,,,67b,,,25,,
34027,355,10,1,1,r,79,321,119,342,مَاتَوَقَّفَ,ماتوقف,,,,67b,,,25,,
34419,358,5,1,1,r,148,191,193,212,مَاكَانَتْ,ماكانت,,,,68b,,,25,,
34575,359,7,1,1,r,322,243,361,264,مَاجَاؤُوا,ماجاؤوا,,,,68b,,,25,,
34593,360,1,1,1,r,147,87,199,108,«مَاأَحْسَنَ,ماأحسن,,,«,68b,,,25,,
34667,360,8,1,1,r,178,269,208,290,مَافَهِمَ,مافهم,,,,69a,,,25,,
34788,361,5,1,1,r,271,191,301,212,مَاوُفِّقَ,ماوفق,,,,69a,,,25,,
35123,363,9,1,1,r,299,295,336,316,مَاأُرْسِلَ,ماأرسل,,,,69b,,,25,,
35135,363,10,1,1,r,285,321,316,342,مَاكُلُّ,ماكل,,,,69b,,,25,,
35139,363,10,1,1,r,166,321,197,342,مَاكُلُّ,ماكل,,,,69b,,,25,,
35143,363,11,1,1,r,368,347,402,368,مَاأُعْطِيَ,ماأعطي,,,,69b,,,25,,
35748,368,2,1,1,r,137,113,169,134,مَاعَصَىٰ,ماعصى,,,,71a,,,25,,
35888,369,6,1,1,r,307,217,331,238,مَادَعَا,مادعا,,,,71a,,,25,,
36034,370,7,1,1,r,274,243,305,264,مَاكَانَ,ماكان,,,,71b,,,25,,
36151,371,10,1,1,r,284,321,317,342,مَاكَانَ,ماكان,,,,71b,,,25,,
36356,372,15,1,1,r,155,451,194,472,مَاكَانَ,ماكان,,,,72a,,,25,,
36375,372,17,1,1,r,269,503,308,524,مَاكَانَ,ماكان,,,,72a,,,25,,
36392,373,2,1,1,r,284,113,324,134,مَاكَانَ,ماكان,,,,72a,,,25,,
36504,374,4,1,1,r,338,209,366,230,مَاٱدَّعَىٰ,ماادعى,,,,72b,,,26,,
36653,375,8,1,1,r,282,269,317,290,مَايُـؤيَّدُ,مايؤيد,,,,72b,,,26,,
36672,375,10,1,1,r,339,321,364,342,مَاهُمْ,ماهم,,,,72b,,,26,,
37037,382,2,1,1,r,283,113,338,134,«مَاتَرَدَّدْتُ,ماترددت,,,«,73b,,,27,,
37156,383,4,1,1,r,222,165,257,186,مَاكَلَّمَ,ماكلم,,,,73b,,,27,,
37426,386,1,1,1,r,124,87,167,108,مَاتَـكُونُ,ماتكون,,,,74a,,,27,,
37693,388,10,1,1,r,229,321,269,342,مَايَجْهَلُ,مايجهل,,,,74b,,,27,,
38114,393,3,1,1,r,143,139,177,160,مَاكَوَّنَ,ماكون,,,,75b,,,27,,
38243,395,3,1,1,r,369,139,402,160,مَايُحْمَدُ,مايحمد,,,,75b,,,27,,
38264,395,5,1,1,r,107,191,148,212,مَايَظْهَـرُ,مايظهر,,,,76a,,,27,,
38284,396,1,1,1,r,228,87,271,108,مَاذَكْـرْنَاهُ.,ماذكرناه,,.,,76a,,,27,,
38440,397,1,1,1,r,79,87,119,108,مَايُكْـرَهُ,مايكره,,,,76a,,,27,,
38676,399,1,1,1,r,333,86,365,104,مَاسَأَلَ».,ماسأل,,».,,76b,,,27,,
38880,401,9,1,1,r,301,295,327,316,مَايَرُدُّ,مايرد,,,,77a,,,27,,
38919,402,1,1,1,r,168,87,208,108,مَادَامَتْ,مادامت,,,,77a,,,27,,
38926,402,2,1,1,r,311,113,341,134,مَافِيهَا،,مافيها,,،,,77a,,,27,,
38964,402,5,1,1,r,150,191,176,212,مَادَامَ,مادام,,,,77a,,,27,,
39001,402,9,1,1,r,79,295,137,316,مَاتَصْنَعُونَ﴾,ماتصنعون,,﴾.,,77a,,,27,,29:45
39176,405,2,1,1,r,306,113,347,134,مَاٱلتَفَتَ,ماالتفت,,,,77b,,,27,,
39463,408,3,1,1,r,364,139,402,160,مَاٱعْتَقَدَهُ،,مااعتقده,,،,,78a,,,27,,
39498,408,7,1,1,r,308,243,331,264,مَاقَال,ماقال,,,,78a,,,27,,
39508,408,8,1,1,r,330,269,374,290,مَاٱعْـتَقَدَهُ،,مااعتقده,,،,,78a,,,27,,
