stripe	column	line	left	top	right	bottom
0		1	712	252	922	349
0		2	345	467	1297	552
0		3	349	562	1289	640
0		4	348	650	1293	733
0		5	351	743	1510	823
0		6	353	833	1596	908
0		7	150	920	1608	1008
0		8	150	1018	1521	1090
0		9	150	1100	1522	1175
0		10	150	1185	1523	1270
0		11	150	1280	1527	1352
0		12	150	1362	1528	1447
0		13	157	1457	1530	1537
0		14	156	1547	1533	1624
0		15	157	1634	1535	1710
0		16	164	1720	1536	1801
0		17	164	1811	1541	1890
0		18	163	1900	1543	1976
0		19	166	1986	1546	2065
0		20	172	2075	1547	2159
