stripe	column	line	left	top	right	bottom
0		1	717	259	925	362
0		2	153	462	1516	554
0		3	153	564	1518	639
0		4	153	649	1515	728
0		5	153	738	1519	817
0		6	153	827	1625	912
0		7	153	922	1520	1003
0		8	153	1013	1523	1086
0		9	154	1096	1527	1180
0		10	155	1190	1529	1271
0		11	160	1281	1625	1360
0		12	161	1370	1536	1453
0		13	162	1463	1534	1543
0		14	160	1553	1537	1637
0		15	164	1647	1535	1716
0		16	161	1726	1540	1808
0		17	167	1818	1539	1895
0		18	167	1905	1544	1988
0		19	954	1998	1543	2068
0		20	170	2078	1545	2159
