stripe	column	line	left	top	right	bottom
0		1	933	238	1115	334
0		2	421	398	1583	467
0		3	420	477	1584	559
0		4	312	613	1615	691
0		5	314	701	1679	780
0		6	313	790	1679	858
0		7	311	868	1679	936
0		8	312	946	1679	1021
0		9	315	1031	1679	1100
0		10	313	1110	1679	1182
0		11	1375	1192	1679	1259
0		12	601	1315	1404	1383
0		13	601	1393	1403	1465
0		14	601	1475	1407	1551
0		15	600	1561	1405	1639
0		16	601	1649	1405	1715
0		17	219	1725	1404	1803
0		18	605	1813	1406	1888
0		19	310	1918	1623	2008
0		20	310	2018	1679	2098
