stripe	column	line	left	top	right	bottom
1	l	1	721	259	899	362
2		1	307	467	1329	557
2		2	310	567	1333	674
2		3	151	708	1613	805
2		4	154	815	1524	901
2		5	151	911	1525	983
2		6	151	993	1530	1073
2		7	152	1083	1537	1163
2		8	156	1173	1540	1255
2		9	161	1265	1543	1342
2		10	161	1352	1545	1431
2		11	170	1441	1547	1521
2		12	177	1531	1550	1608
2		13	174	1618	1555	1702
2		14	183	1712	1557	1792
2		15	185	1802	1560	1878
2		16	185	1888	1566	1973
2		17	190	1983	1567	2071
3	r	1	210	2282	1515	2358
3	r	2	583	2368	1515	2493
