stripe	column	line	left	top	right	bottom
0		1	728	243	911	340
0		2	145	398	1439	478
0		3	145	488	1501	567
0		4	145	593	1501	677
0		5	302	691	1501	771
0		6	761	841	1398	920
0		7	145	982	1438	1063
0		8	145	1073	1501	1152
0		9	145	1162	1501	1251
0		10	145	1261	1501	1353
0		11	145	1363	1501	1448
0		12	172	1458	1501	1548
0		13	145	1564	1501	1645
0		14	145	1655	1501	1739
0		15	145	1755	1501	1844
0		16	145	1854	1501	1940
0		17	145	1950	1501	2034
0		18	145	2050	1501	2133
0		19	145	2145	1501	2236
0		20	145	2246	1501	2332
0		21	145	2354	1501	2489
