stripe	column	line	left	top	right	bottom
0		1	739	255	949	353
0		2	164	465	1530	548
0		3	164	558	1529	638
0		4	164	648	1529	723
0		5	164	733	1531	815
0		6	164	825	1532	903
0		7	164	913	1531	995
0		8	164	1005	1531	1091
0		9	164	1101	1532	1175
0		10	164	1185	1533	1266
0		11	164	1276	1532	1347
0		12	164	1357	1539	1441
0		13	164	1451	1532	1527
0		14	164	1539	1531	1617
0		15	164	1627	1532	1700
0		16	164	1710	1533	1797
0		17	164	1807	1532	1890
0		18	164	1900	1534	1976
0		19	164	1986	1627	2064
0		20	164	2074	1531	2159
