stripe	column	line	left	top	right	bottom
0		1	889	238	1486	335
0		2	306	443	1673	531
0		3	307	543	1673	618
0		4	307	628	1673	708
0		5	308	718	1673	796
0		6	214	806	1673	886
0		7	308	896	1673	974
0		8	306	984	1673	1062
0		9	309	1072	1673	1153
0		10	305	1163	1673	1242
0		11	308	1252	1673	1333
0		12	306	1343	1673	1417
0		13	307	1427	1673	1505
0		14	305	1515	1673	1593
0		15	307	1603	1673	1676
0		16	214	1686	1673	1767
0		17	214	1777	1673	1848
0		18	306	1858	1673	1927
0		19	306	1937	1673	2013
0		20	306	2023	1673	2101
