stripe	column	line	left	top	right	bottom
0		1	694	260	903	356
0		2	132	472	1496	552
0		3	132	562	1495	640
0		4	132	650	1495	727
0		5	132	737	1494	819
0		6	132	829	1495	905
0		7	132	915	1492	994
0		8	132	1004	1496	1077
0		9	132	1087	1495	1170
0		10	132	1182	1495	1252
0		11	132	1262	1495	1340
0		12	132	1350	1495	1418
0		13	132	1428	1495	1500
0		14	132	1510	1590	1581
0		15	132	1591	1497	1668
0		16	132	1678	1495	1747
0		17	132	1757	1500	1838
0		18	132	1848	1496	1925
0		19	132	1935	1495	1996
0		20	132	2006	1500	2072
