stripe	column	line	left	top	right	bottom
0		1	742	241	926	341
0		2	161	399	1450	483
0		3	161	493	1512	579
0		4	161	591	1512	678
0		5	161	688	1512	774
0		6	161	798	1512	875
0		7	1275	885	1512	965
0		8	161	1011	1448	1094
0		9	161	1104	1512	1187
0		10	161	1197	1512	1281
0		11	161	1291	1512	1374
0		12	161	1388	1512	1473
0		13	161	1483	1512	1561
0		14	161	1571	1512	1652
0		15	161	1664	1512	1755
0		16	161	1765	1512	1853
0		17	161	1863	1512	1950
0		18	161	1960	1512	2044
0		19	161	2054	1512	2137
0		20	161	2147	1512	2231
0		21	161	2241	1512	2324
0		22	161	2334	1512	2475
