stripe	column	line	left	top	right	bottom
1	l	1	702	246	848	332
2		1	107	383	1561	475
2		2	107	485	1471	551
2		3	140	561	1473	645
2		4	175	681	1406	771
2		5	178	781	1410	849
2		6	180	859	1414	929
2		7	183	939	1419	1033
2		8	387	1117	1561	1234
2		9	129	1310	1456	1405
2		10	130	1415	1513	1487
2		11	134	1497	1515	1568
2		12	144	1578	1518	1647
2		13	145	1657	1519	1732
2		14	146	1742	1523	1808
2		15	149	1818	1527	1884
2		16	152	1894	1531	1972
2		17	155	1982	1536	2051
2		18	160	2061	1537	2124
2		19	162	2134	1539	2225
3	r	1	394	2294	1484	2463
