stripe	column	line	left	top	right	bottom
0		1	729	243	911	340
0		2	142	410	1502	494
0		3	142	504	1502	587
0		4	142	597	1502	681
0		5	142	691	1502	769
0		6	142	779	1502	862
0		7	142	872	1502	953
0		8	142	967	1502	1048
0		9	142	1058	1502	1137
0		10	142	1147	1502	1229
0		11	985	1239	1502	1321
0		12	142	1377	1439	1464
0		13	142	1474	1502	1555
0		14	142	1575	1502	1654
0		15	1076	1668	1502	1743
0		16	142	1801	1440	1890
0		17	142	1900	1502	1980
0		18	142	1990	1502	2074
0		19	142	2084	1502	2163
0		20	142	2173	1502	2250
0		21	142	2260	1502	2345
0		22	142	2355	1502	2486
