stripe	column	line	left	top	right	bottom
0		1	693	249	904	344
0		2	126	460	1590	540
0		3	126	550	1590	633
0		4	126	643	1495	711
0		5	126	721	1494	799
0		6	126	809	1494	891
0		7	126	901	1493	977
0		8	126	987	1494	1074
0		9	126	1084	1496	1156
0		10	126	1166	1496	1251
0		11	126	1261	1495	1336
0		12	126	1346	1590	1427
0		13	126	1437	1497	1512
0		14	126	1522	1499	1602
0		15	126	1612	1500	1697
0		16	126	1707	1498	1789
0		17	126	1799	1502	1878
0		18	126	1888	1503	1966
0		19	126	1976	1501	2052
0		20	126	2062	1502	2145
0		21	126	2155	1504	2231
