stripe	column	line	left	top	right	bottom
0		1	690	252	1145	350
0		2	128	462	1496	541
0		3	128	551	1590	624
0		4	128	634	1497	712
0		5	128	722	1496	805
0		6	128	815	1500	893
0		7	128	903	1500	982
0		8	128	992	1498	1075
0		9	128	1085	1499	1160
0		10	128	1170	1499	1249
0		11	128	1259	1498	1343
0		12	128	1353	1498	1428
0		13	128	1438	1499	1521
0		14	128	1531	1500	1604
0		15	128	1614	1500	1695
0		16	128	1705	1502	1785
0		17	128	1795	1502	1880
0		18	128	1890	1502	1966
0		19	128	1976	1506	2058
0		20	130	2068	1503	2150
