stripe	column	line	left	top	right	bottom
1	l	1	886	240	1093	339
1	l	2	316	409	1667	499
2		1	309	523	1680	593
2		2	309	603	1681	680
2		3	313	690	1684	770
2		4	316	780	1687	863
2		5	316	873	1693	951
2		6	320	961	1697	1041
2		7	321	1051	1698	1134
2		8	327	1144	1699	1220
2		9	327	1230	1705	1314
2		10	329	1324	1704	1391
2		11	262	1401	1710	1489
2		12	345	1499	1714	1576
2		13	336	1586	1714	1670
2		14	262	1680	1714	1754
2		15	344	1764	1714	1842
2		16	343	1852	1714	1929
2		17	262	1939	1714	2031
3	r	1	365	2246	1674	2290
3	r	2	365	2300	1674	2450
