stripe	column	line	left	top	right	bottom
0		1	726	241	911	337
0		2	143	389	1499	478
0		3	143	500	1499	588
0		4	143	616	1499	697
0		5	143	713	1499	800
0		6	143	822	1499	913
0		7	143	923	1499	1015
0		8	143	1027	1499	1111
0		9	143	1123	1499	1222
0		10	979	1240	1499	1325
0		11	831	1393	1499	1466
0		12	143	1476	1499	1626
0		13	143	1636	1499	1727
0		14	143	1737	1499	1824
0		15	143	1834	1499	1924
0		16	143	1942	1499	2026
0		17	143	2036	1499	2128
0		18	143	2140	1499	2227
0		19	143	2237	1499	2326
0		20	143	2340	1499	2481
