stripe	column	line	left	top	right	bottom
0		1	900	255	1110	354
0		2	324	468	1687	552
0		3	324	562	1687	643
0		4	324	653	1687	728
0		5	324	738	1687	816
0		6	324	826	1687	906
0		7	324	916	1687	990
0		8	324	1000	1687	1077
0		9	324	1087	1687	1167
0		10	324	1177	1687	1253
0		11	324	1263	1687	1340
0		12	324	1350	1687	1429
0		13	324	1439	1687	1516
0		14	324	1526	1687	1610
0		15	324	1620	1687	1698
0		16	324	1708	1687	1783
0		17	324	1795	1687	1879
0		18	324	1889	1687	1965
0		19	324	1975	1687	2057
0		20	324	2067	1687	2159
