stripe	column	line	left	top	right	bottom
0		1	977	253	1163	358
0		2	383	406	1743	497
0		3	383	511	1743	594
0		4	383	608	1743	698
0		5	383	710	1743	796
0		6	383	808	1743	892
0		7	383	908	1743	989
0		8	1230	1011	1743	1098
0		9	383	1108	1681	1194
0		10	383	1204	1743	1297
0		11	383	1307	1743	1392
0		12	383	1402	1743	1493
0		13	383	1503	1743	1585
0		14	383	1599	1743	1685
0		15	383	1695	1743	1787
0		16	383	1799	1743	1881
0		17	383	1891	1743	1981
0		18	383	1995	1743	2080
0		19	383	2100	1743	2192
0		20	749	2204	1743	2287
0		21	383	2380	1641	2500
