stripe	column	line	left	top	right	bottom
0		1	897	217	1080	307
0		2	292	433	1657	507
0		3	291	521	1657	599
0		4	290	609	1657	687
0		5	293	697	1657	778
0		6	293	788	1657	861
0		7	293	871	1657	950
0		8	292	960	1657	1035
0		9	298	1045	1657	1120
0		10	293	1130	1657	1200
0		11	293	1210	1657	1277
0		12	295	1287	1657	1363
0		13	241	1373	1657	1447
0		14	203	1501	1595	1573
0		15	296	1583	1657	1656
0		16	293	1666	1657	1735
0		17	292	1745	1657	1817
0		18	293	1827	1657	1895
0		19	295	1905	1657	1979
0		20	294	1989	1657	2062
0		21	1411	2072	1657	2144
