stripe	column	line	left	top	right	bottom
0		1	913	68	974	97
0		2	244	225	1609	297
0		3	243	311	1609	388
0		4	243	400	1609	477
0		5	266	487	1609	567
0		6	245	577	1609	649
0		7	246	661	1609	741
0		8	245	751	1609	826
0		9	252	836	1609	911
0		10	246	921	1609	990
0		11	246	1000	1609	1067
0		12	249	1077	1609	1153
0		13	408	1163	1609	1234
0		14	160	1292	1550	1363
0		15	250	1373	1609	1445
0		16	248	1455	1609	1524
0		17	246	1534	1609	1607
0		18	247	1617	1609	1684
0		19	284	1694	1609	1768
0		20	249	1778	1609	1851
0		21	1366	1861	1609	1934
