page	stripe	block	line	left	top	right	bottom
0		1	179	264	1408	313
0		2	179	323	1408	369
0		3	970	379	1408	424
0		4	747	434	843	454
1	l	1	501	507	707	551
1	l	2	178	561	756	608
1	l	3	424	622	706	662
1	l	4	279	674	692	733
1	r	1	822	504	1410	550
1	r	2	937	560	1410	608
1	r	3	1055	622	1410	666
1	r	4	822	676	1354	732
1	r	5	822	742	1354	786
2		1	646	860	941	937
2		2	503	947	1036	1014
2		3	480	1028	1405	1097
2		4	177	1107	1405	1171
2		5	744	1181	1405	1259
3	l	1	597	1315	757	1343
3	l	2	257	1361	757	1407
3	l	3	177	1417	703	1462
3	l	4	177	1472	702	1514
3	l	5	213	1524	702	1573
3	r	1	818	1314	1404	1360
3	r	2	818	1370	1404	1415
3	r	3	1306	1425	1404	1471
3	r	4	846	1481	1404	1525
3	r	5	1211	1539	1404	1577
3	r	6	818	1587	1404	1632
4		1	550	1712	1031	1774
4		2	712	1802	867	1876
4		3	617	1898	1222	1970
4		4	405	1990	1400	2092
