page	stripe	block	line	left	top	right	bottom
0		1	1082	554	1259	683
0		2	962	705	1379	805
0		3	824	815	1517	906
1	l	1	186	973	1100	1060
1	l	2	186	1070	1100	1155
1	l	3	962	1167	1100	1229
1	l	4	186	1267	996	1351
1	l	5	186	1361	1100	1447
1	l	6	186	1457	1100	1533
1	l	7	186	1543	1100	1645
1	l	8	186	1655	994	1746
1	l	9	186	1756	1100	1830
1	l	10	186	1840	1100	1922
1	l	11	186	1932	1100	2012
1	l	12	186	2022	1100	2101
1	l	13	186	2111	1100	2193
1	l	14	186	2203	1100	2277
1	l	15	186	2287	1100	2366
1	l	16	186	2376	1100	2453
1	l	17	186	2463	1100	2558
1	l	18	728	2570	1100	2635
1	l	19	186	2669	993	2756
1	l	20	186	2766	1100	2844
1	l	21	186	2854	1100	2935
1	l	22	186	2945	1100	3026
1	r	1	1235	976	2043	1056
1	r	2	1235	1066	2147	1148
1	r	3	1235	1158	2147	1240
1	r	4	1235	1250	2147	1323
1	r	5	1824	1333	2147	1414
1	r	6	1235	1442	2042	1526
1	r	7	1235	1536	2147	1619
1	r	8	1235	1629	2147	1703
1	r	9	1373	1713	2147	1805
1	r	10	1235	1823	2043	1910
1	r	11	1235	1920	2147	1997
1	r	12	1739	2007	2147	2097
1	r	13	1235	2121	2043	2208
1	r	14	1235	2218	2147	2291
1	r	15	1498	2301	2147	2394
1	r	16	1235	2416	2043	2496
1	r	17	1235	2506	2147	2590
2		1	619	3093	1725	3172
