stripe	column	line	left	top	right	bottom
0		1	793	67	922	97
0		2	212	151	1561	247
0		3	212	257	1561	339
0		4	212	349	1561	437
0		5	212	451	1561	534
0		6	212	544	1561	632
0		7	212	644	1561	729
0		8	212	739	1561	823
0		9	237	843	1561	925
0		10	212	935	1561	1023
0		11	212	1033	1561	1115
0		12	212	1131	1561	1219
0		13	212	1229	1561	1316
0		14	212	1334	1561	1416
0		15	212	1426	1561	1513
0		16	212	1525	1561	1605
0		17	212	1619	1561	1707
0		18	212	1719	1561	1807
0		19	212	1819	1561	1899
0		20	226	1915	1561	1999
