stripe	column	line	left	top	right	bottom
0		1	444	435	1696	485
0		2	444	495	1696	572
0		3	990	582	1696	664
0		4	480	700	1195	772
0		5	444	782	1628	844
0		6	444	854	1696	916
0		7	444	926	1696	992
0		8	444	1002	1696	1061
0		9	444	1071	1696	1133
0		10	444	1143	1696	1205
0		11	444	1215	1696	1281
0		12	478	1291	1696	1346
0		13	478	1356	1696	1420
0		14	650	1430	1696	1493
0		15	444	1503	1619	1569
0		16	444	1579	1696	1642
0		17	444	1652	1618	1723
0		18	444	1733	1696	1789
0		19	444	1799	1696	1865
0		20	462	1875	1696	1933
0		21	827	1943	1695	2014
0		22	444	2024	1616	2086
0		23	444	2096	1694	2172
