page	stripe	block	line	left	top	right	bottom
1	l	1	170	282	698	329
1	l	2	170	339	695	388
1	l	3	333	398	698	449
1	l	4	170	475	752	533
1	l	5	170	543	752	593
1	l	6	170	603	752	653
1	l	7	509	663	752	697
1	l	8	170	727	752	769
1	l	9	170	779	698	834
1	l	10	170	844	699	894
1	l	11	170	904	697	958
1	l	12	443	968	698	1010
1	l	13	170	1044	752	1097
1	l	14	170	1107	752	1162
1	l	15	170	1172	752	1224
1	l	16	170	1234	752	1278
1	l	17	587	1294	752	1328
1	l	18	170	1358	752	1403
1	l	19	466	1419	699	1457
1	l	20	170	1469	696	1523
1	l	21	170	1533	699	1583
1	l	22	170	1593	698	1645
1	l	23	170	1655	695	1704
1	l	24	170	1714	698	1771
1	l	25	170	1781	699	1832
1	l	26	170	1842	698	1892
1	l	27	308	1902	698	1948
1	l	28	170	1984	752	2037
1	r	1	813	284	1393	328
1	r	2	1150	338	1393	381
1	r	3	1016	401	1393	444
1	r	4	813	454	1339	504
1	r	5	813	514	1338	571
1	r	6	813	597	1393	647
1	r	7	813	657	1393	715
1	r	8	1190	725	1393	778
1	r	9	1007	790	1393	829
1	r	10	813	841	1340	895
1	r	11	813	905	1337	958
1	r	12	813	968	1336	1016
1	r	13	1203	1030	1340	1074
1	r	14	813	1108	1393	1159
1	r	15	1176	1175	1393	1220
1	r	16	894	1234	1393	1289
1	r	17	813	1313	1393	1370
1	r	18	813	1380	1393	1428
1	r	19	916	1438	1393	1491
1	r	20	816	1507	1393	1544
1	r	21	813	1558	1339	1611
1	r	22	813	1621	1340	1672
1	r	23	813	1682	1339	1736
1	r	24	813	1748	1337	1796
1	r	25	813	1808	1337	1856
1	r	26	813	1866	1338	1913
1	r	27	813	1927	1337	1981
1	r	28	813	1991	1336	2040
