stripe	column	line	left	top	right	bottom
0		1	916	233	1124	325
0		2	329	433	1692	518
0		3	330	528	1692	607
0		4	331	617	1692	697
0		5	235	709	1692	782
0		6	329	792	1692	875
0		7	330	885	1692	965
0		8	329	975	1692	1052
0		9	327	1062	1692	1138
0		10	328	1156	1692	1223
0		11	235	1233	1692	1322
0		12	235	1332	1692	1414
0		13	331	1424	1692	1499
0		14	327	1509	1692	1592
0		15	327	1602	1692	1678
0		16	326	1688	1692	1770
0		17	325	1780	1692	1858
0		18	325	1868	1692	1944
0		19	323	1954	1692	2034
0		20	321	2044	1692	2123
0		21	323	2133	1692	2208
