stripe	column	line	left	top	right	bottom
0		1	968	232	1148	326
0		2	383	380	1734	468
0		3	383	478	1734	570
0		4	383	580	1734	668
0		5	383	682	1734	761
0		6	383	771	1734	858
0		7	383	872	1734	956
0		8	383	966	1734	1056
0		9	383	1072	1734	1154
0		10	383	1164	1734	1250
0		11	383	1260	1734	1346
0		12	383	1360	1734	1448
0		13	383	1458	1734	1545
0		14	383	1563	1734	1643
0		15	383	1655	1734	1741
0		16	383	1751	1734	1835
0		17	383	1849	1734	1938
0		18	383	1948	1734	2038
0		19	383	2048	1734	2130
0		20	383	2144	1734	2229
