stripe	column	line	left	top	right	bottom
2		1	973	269	1155	314
2		2	831	372	1661	467
2		3	1107	479	1661	565
2		4	991	575	1661	663
2		5	996	673	1661	764
2		6	914	774	1661	864
2		7	1031	874	1661	962
2		8	1024	972	1657	1062
2		9	1021	1078	1654	1170
2		10	1060	1184	1650	1278
2		11	1061	1294	1647	1383
2		12	1033	1393	1642	1484
2		13	1019	1494	1636	1593
2		14	1025	1607	1631	1696
2		15	953	1706	1627	1797
2		16	1035	1807	1623	1895
2		17	981	1905	1620	1993
2		18	992	2003	1617	2091
2		19	952	2101	1613	2188
2		20	1030	2198	1610	2284
