stripe	column	line	left	top	right	bottom
0		1	963	249	1144	344
0		2	361	460	1725	546
0		3	360	558	1725	635
0		4	359	645	1725	725
0		5	256	735	1725	817
0		6	360	827	1725	899
0		7	360	909	1725	982
0		8	358	992	1725	1069
0		9	358	1079	1725	1155
0		10	355	1165	1725	1238
0		11	396	1248	1725	1321
0		12	357	1331	1725	1403
0		13	361	1413	1725	1491
0		14	355	1501	1725	1573
0		15	356	1583	1725	1660
0		16	256	1670	1725	1743
0		17	355	1753	1725	1831
0		18	361	1841	1725	1915
0		19	357	1925	1725	2000
0		20	357	2010	1725	2088
0		21	352	2098	1725	2175
