stripe	column	line	left	top	right	bottom
0		1	736	257	920	353
0		2	145	453	1510	532
0		3	145	542	1511	618
0		4	145	628	1515	699
0		5	767	709	1510	780
0		6	424	790	1222	853
0		7	424	863	1221	939
0		8	422	949	1222	1018
0		9	424	1028	1223	1100
0		10	422	1110	1222	1188
0		11	145	1258	1439	1343
0		12	145	1353	1510	1426
0		13	1233	1436	1514	1501
0		14	383	1625	1577	1723
0		15	145	1785	1439	1861
0		16	145	1871	1577	1946
0		17	145	1956	1509	2023
0		18	145	2033	1512	2112
0		19	145	2238	1455	2300
0		20	145	2310	1456	2368
0		21	895	2378	1454	2486
