stripe	column	line	left	top	right	bottom
0		1	580	257	1140	352
0		2	369	410	1724	496
0		3	369	506	1724	593
0		4	369	603	1724	689
0		5	369	699	1724	783
0		6	369	793	1724	882
0		7	369	892	1724	974
0		8	369	984	1724	1062
0		9	369	1074	1724	1167
0		10	369	1177	1724	1259
0		11	369	1269	1724	1351
0		12	369	1361	1724	1449
0		13	369	1459	1724	1550
0		14	369	1560	1724	1648
0		15	369	1658	1724	1742
0		16	369	1752	1724	1846
0		17	369	1856	1724	1941
0		18	369	1951	1724	2037
0		19	369	2049	1724	2139
0		20	369	2153	1724	2235
0		21	369	2245	1724	2334
0		22	369	2344	1724	2488
