stripe	column	line	left	top	right	bottom
1	r	1	950	232	1721	326
1	r	2	380	404	1724	506
2		1	360	535	1724	599
2		2	266	609	1724	697
2		3	354	707	1723	790
2		4	352	800	1722	869
2		5	346	879	1718	963
2		6	345	973	1710	1051
2		7	335	1061	1707	1146
2		8	332	1156	1704	1229
2		9	330	1239	1700	1316
2		10	325	1326	1699	1412
2		11	321	1422	1695	1496
2		12	312	1506	1688	1586
2		13	312	1596	1683	1682
2		14	306	1692	1680	1764
2		15	305	1774	1680	1865
2		16	1026	1875	1673	1957
2		17	1697	2001	1724	2041
3	l	1	348	2231	1593	2329
3	l	2	877	2339	1593	2474
