stripe	column	line	left	top	right	bottom
0		1	754	246	935	344
0		2	174	398	1462	483
0		3	174	493	1523	569
0		4	174	579	1523	666
0		5	912	676	1523	754
0		6	307	784	1391	855
0		7	306	865	1392	950
0		8	307	960	1394	1033
0		9	174	1043	1462	1124
0		10	174	1138	1523	1213
0		11	174	1223	1523	1306
0		12	174	1316	1523	1393
0		13	174	1403	1523	1487
0		14	1339	1501	1523	1572
0		15	174	1598	1464	1679
0		16	174	1689	1523	1767
0		17	174	1777	1523	1855
0		18	174	1865	1523	1942
0		19	248	1952	1523	2035
0		20	1182	2121	1429	2182
0		21	174	2192	1462	2331
0		22	174	2341	1523	2480
