stripe	column	line	left	top	right	bottom
0		1	743	255	926	359
0		2	153	409	1505	501
0		3	153	521	1505	597
0		4	153	617	1505	698
0		5	153	710	1505	793
0		6	153	803	1505	889
0		7	153	901	1505	987
0		8	153	999	1505	1090
0		9	153	1100	1505	1188
0		10	153	1202	1505	1284
0		11	153	1294	1505	1382
0		12	865	1404	1505	1477
0		13	1033	1523	1410	1601
0		14	153	1665	1444	1749
0		15	153	1759	1505	1848
0		16	153	1858	1505	1945
0		17	153	1955	1505	2042
0		18	153	2052	1505	2143
0		19	153	2153	1505	2243
0		20	153	2259	1505	2338
0		21	153	2348	1505	2489
