stripe	column	line	left	top	right	bottom
0		1	734	252	945	352
0		2	159	466	1528	543
0		3	159	557	1527	634
0		4	159	646	1526	721
0		5	159	731	1525	815
0		6	159	825	1526	903
0		7	159	913	1527	993
0		8	159	1003	1526	1081
0		9	159	1091	1526	1174
0		10	159	1184	1620	1263
0		11	159	1273	1527	1353
0		12	159	1363	1620	1442
0		13	159	1452	1526	1531
0		14	159	1541	1527	1616
0		15	159	1626	1527	1708
0		16	159	1718	1526	1797
0		17	159	1807	1528	1886
0		18	159	1896	1530	1982
0		19	159	1992	1530	2067
0		20	159	2077	1528	2160
