stripe	column	line	left	top	right	bottom
0		1	758	256	905	354
0		2	159	410	1525	493
0		3	159	509	1525	591
0		4	159	601	1525	686
0		5	1217	700	1525	776
0		6	159	824	1525	910
0		7	159	920	1525	1002
0		8	159	1018	1525	1099
0		9	159	1109	1525	1184
0		10	159	1194	1525	1276
0		11	159	1286	1525	1363
0		12	159	1373	1525	1455
0		13	159	1465	1525	1543
0		14	159	1553	1525	1634
0		15	159	1644	1525	1727
0		16	159	1737	1525	1810
0		17	159	1820	1525	1901
0		18	159	1915	1525	1990
0		19	159	2000	1525	2078
0		20	159	2088	1525	2172
0		21	159	2182	1525	2257
0		22	159	2267	1525	2346
0		23	159	2356	1525	2496
