stripe	column	line	left	top	right	bottom
0		1	724	244	932	341
0		2	147	455	1519	536
0		3	147	546	1520	630
0		4	147	640	1615	710
0		5	147	720	1520	805
0		6	147	815	1519	890
0		7	147	900	1520	984
0		8	147	994	1520	1069
0		9	147	1079	1519	1158
0		10	147	1168	1517	1257
0		11	147	1267	1519	1345
0		12	147	1355	1605	1430
0		13	147	1440	1518	1521
0		14	147	1531	1525	1609
0		15	147	1619	1520	1696
0		16	147	1706	1518	1787
0		17	147	1797	1518	1881
0		18	147	1891	1519	1966
0		19	147	1976	1515	2058
0		20	147	2068	1519	2160
