stripe	column	line	left	top	right	bottom
0		1	752	243	963	337
0		2	176	451	1538	531
0		3	176	541	1542	623
0		4	176	633	1540	709
0		5	176	719	1541	797
0		6	176	807	1539	889
0		7	176	899	1540	979
0		8	176	989	1539	1070
0		9	176	1080	1539	1160
0		10	176	1170	1541	1248
0		11	176	1258	1637	1338
0		12	176	1348	1541	1429
0		13	176	1439	1539	1516
0		14	176	1526	1541	1611
0		15	176	1621	1539	1695
0		16	176	1705	1541	1785
0		17	176	1795	1540	1874
0		18	176	1884	1542	1965
0		19	176	1975	1541	2055
0		20	176	2065	1637	2153
