stripe	column	line	left	top	right	bottom
0		1	883	222	1094	315
0		2	308	423	1670	506
0		3	303	516	1670	597
0		4	306	607	1670	686
0		5	303	696	1670	779
0		6	308	789	1670	867
0		7	305	877	1670	953
0		8	305	963	1670	1043
0		9	304	1053	1670	1135
0		10	301	1145	1670	1223
0		11	205	1233	1670	1315
0		12	305	1325	1670	1403
0		13	303	1413	1670	1492
0		14	303	1502	1670	1580
0		15	303	1590	1670	1669
0		16	306	1679	1670	1759
0		17	304	1769	1670	1850
0		18	305	1860	1670	1939
0		19	303	1949	1670	2028
0		20	303	2038	1670	2110
