stripe	column	line	left	top	right	bottom
0		1	730	238	914	334
0		2	140	446	1495	528
0		3	140	538	1495	622
0		4	140	636	1495	715
0		5	140	725	1495	809
0		6	140	819	1495	899
0		7	140	909	1495	994
0		8	140	1004	1495	1087
0		9	140	1097	1495	1174
0		10	140	1184	1495	1267
0		11	140	1277	1495	1363
0		12	140	1385	1495	1457
0		13	140	1467	1495	1549
0		14	140	1559	1495	1636
0		15	140	1646	1495	1729
0		16	140	1739	1495	1821
0		17	743	1831	1495	1904
0		18	140	1972	1430	2045
0		19	140	2055	1495	2142
0		20	140	2152	1495	2238
0		21	140	2252	1495	2326
0		22	140	2336	1495	2483
