stripe	column	line	left	top	right	bottom
0		1	753	251	964	350
0		2	183	456	1551	539
0		3	183	549	1549	633
0		4	183	643	1548	723
0		5	183	733	1551	811
0		6	183	823	1550	899
0		7	183	911	1550	988
0		8	183	998	1548	1073
0		9	183	1083	1552	1166
0		10	183	1176	1620	1253
0		11	183	1263	1551	1346
0		12	183	1356	1620	1431
0		13	183	1441	1551	1519
0		14	183	1529	1551	1609
0		15	183	1619	1549	1707
0		16	183	1717	1551	1789
0		17	183	1799	1554	1877
0		18	183	1887	1620	1971
0		19	183	1981	1553	2063
0		20	183	2073	1550	2152
