stripe	column	line	left	top	right	bottom
0		1	722	232	933	326
0		2	158	432	1528	521
0		3	158	531	1529	608
0		4	158	618	1528	697
0		5	158	707	1528	788
0		6	158	798	1529	874
0		7	158	884	1530	962
0		8	158	976	1531	1056
0		9	158	1066	1531	1137
0		10	158	1147	1530	1230
0		11	158	1240	1534	1318
0		12	158	1328	1621	1408
0		13	158	1418	1534	1497
0		14	158	1507	1534	1587
0		15	158	1597	1535	1676
0		16	158	1686	1534	1765
0		17	158	1775	1535	1853
0		18	158	1863	1537	1941
0		19	158	1951	1538	2030
0		20	158	2040	1538	2123
