stripe	column	line	left	top	right	bottom
0		1	714	260	897	361
0		2	128	415	1484	509
0		3	128	527	1483	610
0		4	128	620	1486	710
0		5	128	720	1486	808
0		6	128	826	1484	911
0		7	128	921	1487	1010
0		8	128	1020	1485	1109
0		9	128	1119	1482	1207
0		10	128	1217	1484	1305
0		11	128	1315	1568	1404
0		12	128	1414	1487	1504
0		13	128	1514	1488	1599
0		14	128	1609	1487	1700
0		15	128	1710	1487	1794
0		16	128	1804	1486	1893
0		17	128	1905	1488	1986
0		18	128	1996	1490	2080
0		19	128	2090	1489	2177
0		20	128	2187	1489	2271
