stripe	column	line	left	top	right	bottom
0		1	1506	101	1892	197
0		2	330	409	3057	579
0		3	330	589	3059	745
0		4	330	755	3053	905
0		5	330	915	3057	1067
0		6	330	1077	3053	1231
0		7	2799	1241	3051	1364
0		8	840	1556	3227	1747
0		9	330	1945	3227	2126
0		10	330	2136	3051	2313
0		11	330	2323	3051	2490
0		12	330	2500	3050	2661
0		13	330	2673	3056	2851
0		14	330	2861	3052	3013
0		15	330	3023	3054	3188
0		16	330	3198	3051	3341
0		17	330	3351	3058	3505
0		18	330	3515	3052	3662
0		19	330	3672	3048	3831
0		20	330	3841	3054	3983
0		21	330	3993	3052	4153
