stripe	column	line	left	top	right	bottom
0		1	1802	131	1953	195
0		2	516	417	3225	576
0		3	515	586	3225	737
0		4	514	747	3225	900
0		5	519	910	3225	1059
0		6	515	1069	3225	1228
0		7	522	1238	3225	1391
0		8	517	1405	3225	1549
0		9	518	1559	3225	1710
0		10	526	1720	3225	1870
0		11	521	1880	3225	2029
0		12	518	2039	3225	2196
0		13	515	2206	3225	2360
0		14	513	2370	3225	2522
0		15	670	2532	3225	2692
0		16	1165	2742	2591	2903
0		17	1165	2955	2596	3123
0		18	1165	3177	3086	3334
0		19	319	3396	2590	3574
