stripe	column	line	left	top	right	bottom
0		1	1589	99	1975	190
0		2	421	406	3125	588
0		3	411	598	3125	764
0		4	395	778	3115	932
0		5	384	942	3098	1120
0		6	384	1130	3095	1301
0		7	384	1311	3101	1478
0		8	384	1488	3106	1670
0		9	388	1680	3104	1836
0		10	387	1846	3105	2020
0		11	400	2030	3106	2210
0		12	390	2220	3113	2387
0		13	401	2397	3117	2568
0		14	398	2578	3124	2746
0		15	400	2756	3125	2924
0		16	410	2934	3119	3100
0		17	413	3110	3125	3281
0		18	406	3291	3124	3457
0		19	412	3467	3125	3644
0		20	419	3654	3125	3829
