stripe	column	line	left	top	right	bottom
0		1	1505	102	1838	202
0		2	457	324	3213	483
0		3	1319	513	2888	666
0		4	455	696	1877	861
0		5	456	889	2888	1057
0		6	457	1073	2887	1230
0		7	456	1240	2890	1417
0		8	327	1501	2894	1676
0		9	327	1686	3035	1860
0		10	327	1870	3031	2038
0		11	327	2048	3037	2215
0		12	327	2225	3036	2401
0		13	1186	2411	3037	2581
0		14	604	2665	2745	2845
0		15	603	2855	2747	3026
0		16	604	3036	2745	3200
0		17	605	3210	2746	3398
0		18	327	3462	2890	3652
0		19	327	3662	3213	3825
0		20	327	3835	3033	3999
