stripe	column	line	left	top	right	bottom
0		1	1719	131	1886	198
0		2	422	428	3135	611
0		3	422	623	3135	783
0		4	422	793	3135	961
0		5	422	971	3135	1144
0		6	424	1154	3135	1329
0		7	422	1339	3135	1508
0		8	422	1524	3135	1680
0		9	427	1690	3135	1858
0		10	422	1868	3135	2034
0		11	422	2050	3135	2221
0		12	422	2233	3135	2391
0		13	422	2401	3135	2564
0		14	422	2574	3135	2731
0		15	422	2747	3135	2913
0		16	422	2923	3135	3101
0		17	1874	3111	3135	3273
0		18	422	3377	2994	3537
0		19	422	3547	3133	3721
0		20	954	3731	3131	3897
