stripe	column	line	left	top	right	bottom
0		1	1464	100	1846	205
0		2	706	423	3020	601
0		3	1058	699	2260	868
0		4	319	988	2883	1143
0		5	319	1153	3023	1330
0		6	319	1340	3027	1508
0		7	319	1518	3027	1689
0		8	319	1699	3033	1865
0		9	319	1875	3029	2040
0		10	319	2050	3030	2228
0		11	319	2238	3034	2394
0		12	319	2404	3034	2574
0		13	319	2584	3227	2749
0		14	319	2763	3036	2939
0		15	319	2949	3036	3111
0		16	319	3121	3032	3300
0		17	319	3310	3035	3469
0		18	319	3479	3035	3649
0		19	319	3659	3039	3824
0		20	319	3834	3039	4012
