stripe	column	line	left	top	right	bottom
0		1	1890	131	1971	195
0		2	739	321	3031	466
0		3	737	476	3033	641
0		4	519	751	3094	915
0		5	524	925	3232	1081
0		6	520	1091	3232	1247
0		7	516	1257	3232	1402
0		8	516	1412	3232	1574
0		9	522	1584	3232	1727
0		10	516	1739	3232	1896
0		11	2641	1906	3232	2061
0		12	1091	2151	2665	2291
0		13	1091	2305	2663	2451
0		14	1089	2475	2670	2633
0		15	1087	2645	2666	2808
0		16	1088	2818	2664	2963
0		17	316	2973	2662	3132
0		18	1094	3142	2664	3295
0		19	502	3355	3097	3540
0		20	502	3562	3232	3727
