stripe	column	line	left	top	right	bottom
0		1	1654	131	1738	200
0		2	351	302	3199	487
0		3	351	527	3051	698
0		4	351	732	3046	921
0		5	351	955	3043	1132
0		6	351	1142	3049	1324
0		7	351	1334	3052	1502
0		8	351	1512	3199	1688
0		9	351	1698	3051	1875
0		10	351	1885	3052	2072
0		11	351	2082	3054	2243
0		12	1122	2263	3049	2439
0		13	766	2459	3199	2631
0		14	763	2641	2616	2815
0		15	767	2829	2617	2991
0		16	351	3077	3199	3249
0		17	351	3259	3049	3429
0		18	351	3455	3055	3622
0		19	1094	3636	3057	3799
