stripe	column	line	left	top	right	bottom
0		1	1470	131	1848	205
0		2	320	425	3032	577
0		3	320	589	3029	754
0		4	320	768	3187	935
0		5	320	945	3030	1125
0		6	320	1137	3033	1298
0		7	320	1308	3033	1477
0		8	320	1487	3030	1658
0		9	320	1668	3030	1832
0		10	320	1842	3031	2011
0		11	320	2029	3034	2187
0		12	320	2197	3032	2372
0		13	320	2382	3031	2542
0		14	320	2554	3034	2733
0		15	320	2743	3033	2900
0		16	320	2910	3037	3066
0		17	320	3076	3034	3261
0		18	320	3271	3227	3446
0		19	320	3456	3033	3613
0		20	320	3623	3039	3805
