page	stripe	column	line	left	top	right	bottom
0		1	1689	97	2076	196
0		2	514	410	3231	582
0		3	510	592	3231	761
0		4	510	773	3231	943
0		5	514	953	3231	1122
0		6	508	1132	3231	1299
0		7	510	1309	3231	1473
0		8	514	1483	3231	1652
0		9	510	1662	3231	1840
0		10	512	1850	3231	2016
0		11	317	2026	3231	2192
0		12	1720	2202	3231	2364
0		13	876	2510	2882	2662
0		14	878	2672	2880	2840
0		15	508	2920	3094	3082
0		16	512	3092	3231	3268
0		17	506	3278	3231	3440
0		18	506	3450	3231	3617
0		19	504	3627	3231	3812
