stripe	column	line	left	top	right	bottom
0		1	1605	131	1758	199
0		2	321	413	3033	587
0		3	321	597	3030	767
0		4	321	777	3031	939
0		5	321	949	3034	1120
0		6	321	1130	3036	1298
0		7	321	1308	3033	1482
0		8	321	1492	3034	1666
0		9	321	1678	3035	1839
0		10	321	1849	3036	2024
0		11	321	2034	3034	2192
0		12	321	2202	3048	2383
0		13	321	2393	3034	2536
0		14	321	2566	3031	2728
0		15	321	2738	3034	2923
0		16	321	2933	3036	3087
0		17	321	3097	3032	3273
0		18	321	3283	3036	3443
0		19	321	3453	3232	3622
0		20	321	3632	3030	3806
