stripe	column	line	left	top	right	bottom
0		1	1780	131	1934	200
0		2	513	420	3202	576
0		3	502	586	3202	739
0		4	502	749	3202	902
0		5	501	912	3202	1069
0		6	499	1079	3202	1224
0		7	506	1234	3202	1383
0		8	496	1393	3202	1543
0		9	499	1553	3202	1704
0		10	495	1714	3202	1867
0		11	498	1877	3202	2023
0		12	507	2033	3202	2185
0		13	344	2195	3202	2358
0		14	344	2368	3202	2528
0		15	494	2538	3202	2686
0		16	493	2696	3202	2854
0		17	497	2864	3202	3010
0		18	494	3020	3202	3175
0		19	504	3185	3202	3329
0		20	495	3339	3202	3533
