stripe	column	line	left	top	right	bottom
0		1	1608	97	1936	201
0		2	429	301	3121	467
0		3	429	477	3121	685
0		4	429	699	3119	881
0		5	429	903	3120	1070
0		6	429	1080	3121	1266
0		7	429	1286	3121	1463
0		8	429	1473	3121	1656
0		9	429	1682	3121	1858
0		10	429	1870	3121	2046
0		11	429	2060	3121	2236
0		12	429	2260	3121	2443
0		13	431	2453	3121	2637
0		14	429	2665	3121	2836
0		15	429	2850	3121	3033
0		16	429	3043	3121	3217
0		17	429	3239	3121	3421
0		18	429	3433	3121	3621
0		19	429	3635	3121	3803
0		20	429	3829	3121	4003
