stripe	column	line	left	top	right	bottom
0		1	1487	99	1872	201
0		2	320	403	3028	581
0		3	320	591	3026	772
0		4	320	782	3032	945
0		5	320	955	3035	1116
0		6	320	1126	3035	1309
0		7	320	1319	3037	1475
0		8	320	1485	3037	1662
0		9	632	1672	3035	1835
0		10	320	1845	3251	2017
0		11	320	2027	3037	2195
0		12	320	2205	3038	2370
0		13	320	2380	3038	2556
0		14	320	2566	3038	2720
0		15	320	2730	3040	2909
0		16	320	2919	3004	3089
0		17	320	3099	3030	3261
0		18	320	3271	3048	3443
0		19	320	3453	3252	3618
0		20	320	3628	3048	3796
0		21	320	3806	3252	3953
