stripe	column	line	left	top	right	bottom
0		1	1707	99	2045	198
0		2	503	304	3196	476
0		3	343	486	3196	658
0		4	504	668	3196	838
0		5	509	848	3196	1006
0		6	343	1046	3196	1210
0		7	365	1220	3196	1384
0		8	498	1394	3196	1565
0		9	497	1575	3196	1727
0		10	499	1737	3196	1881
0		11	508	1891	3196	2050
0		12	343	2060	3196	2221
0		13	499	2231	3196	2389
0		14	2387	2399	3196	2557
0		15	343	2573	2781	2753
0		16	967	2823	2783	3008
0		17	932	3076	2782	3258
0		18	930	3318	2785	3489
0		19	929	3577	2788	3755
0		20	930	3841	2786	3994
