stripe	column	line	left	top	right	bottom
0		1	1602	131	1762	194
0		2	311	412	3038	590
0		3	311	600	3038	764
0		4	311	774	3237	944
0		5	311	954	3032	1122
0		6	311	1132	3034	1301
0		7	311	1311	3034	1480
0		8	311	1490	3032	1661
0		9	311	1671	3028	1835
0		10	311	1845	3032	2011
0		11	311	2021	3030	2199
0		12	311	2209	3030	2373
0		13	311	2383	3032	2557
0		14	311	2567	3032	2734
0		15	311	2748	3028	2918
0		16	311	2928	3032	3093
0		17	311	3103	3024	3273
0		18	311	3283	3024	3444
0		19	311	3454	3026	3642
0		20	311	3654	3024	3823
