stripe	column	line	left	top	right	bottom
0		1	1855	131	1961	199
0		2	536	427	3239	608
0		3	533	622	3239	782
0		4	531	792	3239	966
0		5	308	976	3239	1145
0		6	530	1155	3239	1312
0		7	530	1322	3239	1474
0		8	524	1484	3239	1645
0		9	524	1655	3239	1817
0		10	518	1827	3238	1985
0		11	597	1995	3239	2154
0		12	518	2164	3238	2323
0		13	526	2333	3239	2494
0		14	514	2504	3237	2656
0		15	516	2666	3235	2833
0		16	305	2843	3239	3002
0		17	511	3012	3234	3173
0		18	522	3183	3235	3345
0		19	515	3355	3233	3517
0		20	514	3529	3239	3685
0		21	502	3695	3230	3861
