stripe	column	line	left	top	right	bottom
0		1	1607	99	1926	195
0		2	535	425	2971	592
0		3	534	602	2974	783
0		4	536	793	2974	952
0		5	536	966	2977	1125
0		6	538	1135	2976	1320
0		7	412	1410	2986	1578
0		8	412	1588	3129	1754
0		9	412	1828	2979	2018
0		10	412	2028	3131	2159
0		11	412	2169	3131	2321
0		12	412	2331	3131	2488
0		13	412	2498	3131	2648
0		14	412	2658	3131	2799
0		15	412	2809	3131	2970
0		16	412	2980	3131	3121
0		17	415	3131	3131	3277
0		18	412	3287	3131	3447
0		19	412	3457	3131	3599
0		20	423	3609	3131	3781
