stripe	column	line	left	top	right	bottom
0		1	1690	131	2077	204
0		2	499	440	3200	607
0		3	491	617	3200	786
0		4	490	796	3200	962
0		5	1420	974	3200	1150
0		6	633	1160	3069	1311
0		7	971	1533	2731	1745
0		8	350	1879	3061	2041
0		9	484	2051	3200	2202
0		10	485	2212	3200	2366
0		11	486	2376	3200	2533
0		12	487	2543	3200	2695
0		13	487	2705	3200	2876
0		14	486	2886	3200	3044
0		15	481	3054	3200	3215
0		16	479	3225	3200	3392
0		17	486	3402	3200	3562
0		18	485	3572	3200	3718
0		19	480	3728	3200	3887
