band	seq	mark	kept	value	connectdegree	connectborder	top	bottom	left	right
high	1	a	False	0.8065475	0.0	4	1797	1810	909	930
high	1	a	False	0.8139747	0.0	4	859	872	655	676
high	1	a	False	0.85803187	0.0	4	564	577	795	816
high	1	a	False	0.92912537	0.0	4	1478	1491	820	841
high	1	a	False	0.93033975	0.0	4	661	674	255	276
high	1	a	False	0.94134015	0.0	4	566	579	1104	1125
high	1	a	False	0.9446715	0.0	4	1479	1492	870	891
high	1	a	False	0.9574322	0.0	4	565	578	1176	1197
high	1	a	True	0.8011843	0.2673992673992674	4	1888	1901	1027	1048
high	1	a	True	0.8134886	0.3553113553113553	4	964	977	536	557
high	1	a	True	0.8216804	0.315018315018315	4	1387	1400	1116	1137
high	1	a	True	0.830969	0.37362637362637363	4	169	182	791	812
high	1	a	True	0.8328702	0.39194139194139194	4	570	583	682	703
high	1	a	True	0.837348	0.3443223443223443	4	276	289	1452	1473
high	1	a	True	0.8418437	0.37362637362637363	4	1383	1396	1013	1034
high	1	a	True	0.8447971	0.2673992673992674	4	365	378	461	482
high	1	a	True	0.8536246	0.2490842490842491	4	563	576	1209	1230
high	1	a	True	0.85443485	0.2490842490842491	4	464	477	1119	1140
high	1	a	True	0.8634815	0.3443223443223443	4	665	678	437	458
high	2	foonote5	False	0.9390861	0.0	4	1273	1305	464	513
high	3	footnote1	False	0.9127752	0.0	4	172	200	722	771
high	4	footnote2	False	0.9245261	0.0	4	859	892	537	589
high	5	footnote3	False	0.89415956	0.0	4	967	999	945	997
high	9	footnote8	False	0.9225182	0.0	4	1686	1717	1146	1195
high	10	shadda.a.2	False	0.8115433	0.0	4	1891	1909	1047	1063
high	10	shadda.a.2	False	0.8795045	0.0	4	465	483	962	978
high	10	shadda.a.2	False	0.9411154	0.0	4	564	582	1453	1469
high	10	shadda.a.2	True	0.8159332	0.125	4	1470	1488	1131	1147
high	10	shadda.a.2	True	0.81651086	0.4722222222222222	4	1372	1390	1169	1185
high	11	shadda.a	False	0.80806905	0.0	4	1795	1813	1158	1174
high	11	shadda.a	False	0.8125349	0.0	4	772	790	691	707
high	11	shadda.a	False	0.81858945	0.0	4	473	491	899	915
high	11	shadda.a	False	0.82499254	0.0	4	767	785	426	442
high	11	shadda.a	False	0.83055836	0.0	4	280	298	903	919
high	11	shadda.a	False	0.8719378	0.0	4	1892	1910	1048	1064
high	11	shadda.a	False	0.9066523	0.0	4	465	483	963	979
high	11	shadda.a	False	0.92121	0.0	4	565	583	1453	1469
high	11	shadda.a	True	0.80508125	0.6458333333333334	4	1165	1183	1538	1554
high	11	shadda.a	True	0.80677605	0.24305555555555555	4	358	376	490	506
high	11	shadda.a	True	0.82036996	0.6527777777777778	4	753	771	1170	1186
high	11	shadda.a	True	0.8226725	0.2777777777777778	4	1281	1299	1397	1413
high	11	shadda.a	True	0.82494456	0.6388888888888888	4	1372	1390	1170	1186
high	11	shadda.a	True	0.84046185	0.4652777777777778	4	1470	1488	1132	1148
high	12	u	False	0.92082787	0.0	4	563	583	1149	1163
high	12	u	False	0.9239222	0.0	4	858	878	322	336
high	12	u	False	0.957925	0.0	4	268	288	379	393
low	14	a	False	0.8213844	0.0	4	1227	1245	677	697
mid	18	colon	False	0.94046277	0.0	4	381	417	1084	1098
mid	19	comma	False	0.60542715	0.0	4	1096	1137	1391	1408
mid	19	comma	False	0.61198914	0.0	4	1288	1329	228	245
mid	19	comma	False	0.6220142	0.0	4	1803	1844	1002	1019
mid	19	comma	False	0.63234985	0.07317073170731707	4	483	524	1049	1066
mid	19	comma	False	0.6338449	0.0	4	1496	1537	224	241
mid	19	comma	False	0.6363637	0.024390243902439025	4	778	819	1079	1096
mid	19	comma	False	0.64736575	0.0	4	387	428	784	801
